U,theta_0,theta_diff,theta_1c,theta_1s,theta,phi,v_i1,v_i2,v_iprop,Prop_theta_0,Prop_isEnable,delta_e,delta_r,theta_1c_diff,theta_1s_diff,v_01,v_02,beta_01,beta_1c1,beta_1s1,beta_02,beta_1c2,beta_1s2,power_total_LowerRotor,power_total_UpperRotor,power_total_Prop,power_total,T_prop
35,0.240986483918821,0.00167939543153633,0.0028596300738994,-0.0465383008231648,0.0471554292071566,0.00173763400100812,3.58508182769441,4.45931206009064,4.66779061291461,0.61462767439572,1,0,0,0,0,6.85861018200045,5.74513859272148,0.0165755730217041,-0.00441088000521293,-0.0257628562588504,0.020642802745128,-0.00786106443414103,-0.0261392386882091,251761.389410177,319034.96827274,11904.1142321409,591876.399887517,1179.47807817338
36,0.240115092906807,0.00185558555009071,0.00293818933962703,-0.0470017403673317,0.0466328743469108,0.00175754123435059,3.49355285751021,4.34665695810352,4.8535085135753,0.623350849659462,1,0,0,0,0,6.63184859279134,5.56570186230115,0.0165583691792526,-0.00425742445250141,-0.0252434835488975,0.0206508275828113,-0.00796065941690588,-0.0257141541701536,249227.523510432,315023.42531371,11904.181017355,586372.308186013,1263.06709841224
37,0.239293057877982,0.00203240589306669,0.00302108373598136,-0.0474532200262008,0.0460984944876482,0.00177764842626715,3.40557328007635,4.24011658194708,5.03463094080242,0.632040009958996,1,0,0,0,0,6.41199814137026,5.3909988185011,0.0165390321139974,-0.00410175390203446,-0.0247109269505269,0.0206630467002362,-0.00807127301742326,-0.0252809228125758,246815.468792607,311314.867668081,11904.2448452535,581346.425216059,1348.08416440804
38,0.238510682886843,0.00221108982276584,0.00310820785652815,-0.047890087174706,0.0455505699065476,0.00179763087332035,3.32107182181461,4.13923316181707,5.21170598985828,0.640709761258017,1,0,0,0,0,6.19724705484862,5.21994492818874,0.0165178272343322,-0.00394330565260152,-0.0241629867977059,0.0206789373380731,-0.00819304719427209,-0.0248377546392205,244527.030183366,307884.672172237,11904.3052976339,576777.012371076,1434.57876055223
39,0.237764697479747,0.0023921637440496,0.00319940324644665,-0.0483125200105836,0.044987341463564,0.00181723389657273,3.23994104940641,4.04358001831503,5.38488308401393,0.649329065292777,1,0,0,0,0,5.98680217989537,5.05220962749819,0.0164950629024368,-0.00378202523976137,-0.0236000559680933,0.0206981137855287,-0.00832617477908824,-0.0243851879790135,242361.998678669,304710.515736843,11904.3619287492,572640.959787045,1522.49358353617
40,0.237060476209391,0.00257529527806586,0.00329448270704766,-0.0487251479848824,0.0444070462588445,0.00183637783968316,3.16204004318194,3.95276695831353,5.55387941783412,0.657908460943524,1,0,0,0,0,5.78119985900469,4.88845213312067,0.0164710905418914,-0.00361855256824489,-0.0230265208286047,0.020720386829684,-0.00847088529722637,-0.0239273052841635,240318.120157558,301772.753086032,11904.414257058,568913.344199273,1611.63633784621
41,0.236404266971506,0.0027601208603052,0.00339502445448269,-0.0491328931624085,0.0438073258397042,0.00185624474248345,3.08723002507368,3.86644186224232,5.71837994780685,0.666474834310742,1,0,0,0,0,5.58102290800431,4.72934453932698,0.0164462485435937,-0.00345276357134383,-0.0224456028209817,0.0207456106178902,-0.00862829280155288,-0.023469336839537,238392.818310318,299053.898743221,11904.4615732707,565570.361816242,1701.79488901936
42,0.23580299690567,0.00294648324299866,0.00350624553519395,-0.0495406332742199,0.0431850333039152,0.00188052171937181,3.01536754271649,3.78429667385543,5.87806468171853,0.67507147818097,1,0,0,0,0,5.38679615864919,4.57550224296533,0.0164208108411844,-0.00328279840542254,-0.0218577348854671,0.0207737351878377,-0.00880143592540699,-0.0230185222377889,236582.715084398,296539.239196249,11904.5027393587,562589.579197726,1792.74535416053
43,0.235258645692619,0.00313178549313437,0.00360843569916789,-0.0499530042089677,0.0425367061534773,0.00189607659131408,2.94644606641807,3.70591659731107,6.03231916283081,0.683469270179114,1,0,0,0,0,5.19904183587109,4.42737602394652,0.0163957274365728,-0.00311925959022973,-0.0212800597724886,0.0208038288364745,-0.00897964055610513,-0.0225661582973777,234893.372108755,294203.527710574,11904.5385277684,559944.444762788,1884.15157972462
44,0.234778130931516,0.00331558624512412,0.00370874858460009,-0.0503747384042621,0.0418588754096544,0.00190811290803146,2.88034092460272,3.63103948479157,6.18092573551111,0.691722949516342,1,0,0,0,0,5.01820372118505,4.2854546885147,0.0163713362544718,-0.00295955431321097,-0.0207111160703907,0.0208357779044652,-0.00916663163725884,-0.0221202377623286,233321.85707898,292034.158829771,11904.5675863117,557614.366642598,1975.79945612057
