U,theta_0,theta_diff,theta_1c,theta_1s,theta,phi,v_i1,v_i2,v_iprop,Prop_theta_0,Prop_isEnable,delta_e,delta_r,theta_1c_diff,theta_1s_diff,v_01,v_02,beta_01,beta_1c1,beta_1s1,beta_02,beta_1c2,beta_1s2,power_total_LowerRotor,power_total_UpperRotor,power_total_Prop,power_total
55,0.247085592634148,-4.20806661170814e-05,0.00112432034844724,-0.0448698994473937,-0.0489497737179703,0.000300840640324882,2.14828386402278,2.34294342767742,1,0,0,0,0,0,0,3.1223807874074,2.53807096876293,0.018485393817,-0.0130436346670191,-0.0107446650296824,0.020175776955162,-0.0142462468265856,-0.0105327303956709,256177.613820493,271916.907452668,11907.9839307751,540002.505203936
56,0.248992560138724,-9.94128197808317e-05,0.00108887373665629,-0.0453861909587993,-0.0531862751782065,0.000275019891698158,2.12148571674609,2.30209562124481,1,0,0,0,0,0,0,3.04183340777573,2.47089995534091,0.0186062592535107,-0.0137800457473914,-0.0101363937256453,0.020200092027281,-0.0148974138439356,-0.00993481471570444,256768.942154601,271407.507572518,11909.2904936168,540085.740220736
57,0.251019345196539,-0.000154652201487067,0.00105004411441963,-0.0459861645870671,-0.0574686153003844,0.000249905992971398,2.09571314129679,2.26271103820672,1,0,0,0,0,0,0,2.96564260555076,2.40883481779983,0.0187296205991276,-0.0145101513854451,-0.00955523746716453,0.0202265142355409,-0.0155380780710856,-0.0093621006412286,257415.542456859,270983.377792373,11910.7857459544,540309.705995186
58,0.253173035206797,-0.000207254877868364,0.00100852557842728,-0.0466698027113542,-0.0618145613440362,0.00022540809001174,2.07092971875575,2.22486302300338,1,0,0,0,0,0,0,2.89360154073834,2.35143629143954,0.0188557146303565,-0.0152362111955366,-0.00899843250134521,0.0202565188695476,-0.0161719426547429,-0.00881178368664421,258117.095675393,270653.842470922,11912.4920845002,540683.430230815
59,0.255463581735402,-0.000256872466349181,0.000964893849413238,-0.0474371150677308,-0.0662468204181249,0.000201369157607209,2.04713592781824,2.18862546919294,1,0,0,0,0,0,0,2.82554908576109,2.29834138286958,0.0189851584265462,-0.0159616835858169,-0.00846289569354909,0.0202916812704653,-0.0168036284715769,-0.00828073805845856,258876.109801258,270428.124865801,11914.437106521,541218.67177358
60,0.257904465853738,-0.000303325760157457,0.000919617386354278,-0.048288087570423,-0.0707941678259694,0.000177575111909722,2.02437128730365,2.15408274358181,1,0,0,0,0,0,0,2.76137533395314,2.24926146089492,0.0191190095227117,-0.016691543294519,-0.00794508338269715,0.0203337833670007,-0.0174390132571537,-0.00776536557513015,259698.181282429,270316.222957533,11916.6554361821,541931.059676144
61,0.260510364894458,-0.000346545374639228,0.000873065777900216,-0.0492215012178225,-0.0754880399703666,0.000153760014851058,2.00268333660657,2.121305186969,1,0,0,0,0,0,0,2.70098086750767,2.20394610344362,0.0192584483613538,-0.0174323084987649,-0.00744075285786187,0.0203845402378057,-0.0180853150517843,-0.00726135855009107,260589.563955146,270326.836193978,11919.1890277701,542835.589176894
62,0.26329242884805,-0.000386496934815587,0.000825515789380547,-0.0502337060359977,-0.0803548461410472,0.000129627881465805,1.98207571990748,2.09030260616957,1,0,0,0,0,0,0,2.64420915651547,2.1621266546475,0.0194041812080733,-0.0181911481182114,-0.00694507465668893,0.0204450438414744,-0.0187502740764085,-0.00676381684111132,261552.946950744,270463.390628873,11922.0847923299,543938.422371947
63,0.266264727512869,-0.00042328105073578,0.000777143582083826,-0.0513191146728949,-0.0854288125154455,0.000104827477633706,1.96256674372776,2.06108256954389,1,0,0,0,0,0,0,2.59092911001547,2.12357238106493,0.0195571171655309,-0.0189777555960707,-0.00645199214376503,0.0205164173482328,-0.0194438988630698,-0.0062665760947399,262592.214886937,270729.09283213,11925.4014099356,545246.709129003
64,0.269447441456181,-0.000457165516374684,0.00072801031276879,-0.0524685232991033,-0.0907604367032853,7.89056652265449e-05,1.94420540888736,2.033667689718,1,0,0,0,0,0,0,2.54105769705199,2.08810273818254,0.019718601206087,-0.0198066560615817,-0.00595302530332161,0.0206000449610925,-0.0201807101146877,-0.00576098562927373,263713.842564344,271128.467694157,11929.2173524986,546771.527611
65,0.272871376446247,-0.000488622831165745,0.000678023051797938,-0.0536671352803006,-0.0964282708032669,5.12378094178231e-05,1.92708557041743,2.00811018691024,1,0,0,0,0,0,0,2.49457962258873,2.05559744273204,0.0198906642905323,-0.0207001348831219,-0.00543572409071935,0.0206978108406963,-0.0209825749848307,-0.00523430786300925,264928.197460835,271668.690248646,11933.6445128131,548530.532222295
66,0.27658758682797,-0.000518432032579885,0.000626844483975753,-0.0548904725342032,-0.102563899174665,2.08727367887415e-05,1.9113780783888,1.98452090779583,1,0,0,0,0,0,0,2.45159127090092,2.02602254115963,0.020076566573066,-0.0216943916758227,-0.00488042921079563,0.0208125902015826,-0.0218846394504986,-0.00466636816660733,266252.444609335,272362.236316844,11938.856948514,550553.537874693
67,0.280689064933059,-0.000547940328820848,0.000573667588719624,-0.0560936270192776,-0.10941024309899,-1.38499575601325e-05,1.8973970110303,1.96312385078603,1,0,0,0,0,0,0,2.41239199349058,1.99948428921114,0.0202819483546651,-0.0228544376221431,-0.00425231894954738,0.0209492431065021,-0.0229496745792974,-0.00402134300477336,267716.563623511,273231.914296325,11945.1588677593,552893.636787595
68,0.285328235080504,-0.00057919981331232,0.000516785799383696,-0.057201171777941,-0.11737691092026,-5.57687772732587e-05,1.88550834904509,1.94415435680785,1,0,0,0,0,0,0,2.37737702735483,1.97612298177309,0.0205142320824905,-0.0242855947859858,-0.00349422745968333,0.0211138701551891,-0.0242789598335404,-0.00324008178082464,269356.312034096,274302.404600014,11953.0851713375,555611.801805448
69,0.290738559543379,-0.000614579135310505,0.000453029413644169,-0.0581718548468887,-0.127035494826479,-0.000108753895093662,1.87592034003192,1.92767135248576,1,0,0,0,0,0,0,2.3467881258799,1.95591829240517,0.0207806442244793,-0.0260897844763234,-0.00255030997517765,0.0213120632042589,-0.0259685347468298,-0.00226294578650302,271195.647310762,275583.928823954,11963.4990313747,558743.075166091
70,0.297055426282045,-0.000654412194095788,0.000378790621818603,-0.0590220865973631,-0.13870870577649,-0.000176088119325612,1.86784391457304,1.91283171048542,1,0,0,0,0,0,0,2.31962472157867,1.93793398839734,0.0210754957169857,-0.0282866780533807,-0.00140440443426777,0.0215375942438034,-0.0280343052651299,-0.00106920024610357,273172.468667474,277006.670282763,11977.3021253279,562156.441075565
