U,theta_0,theta_diff,theta_1c,theta_1s,theta,phi,v_i1,v_i2,v_iprop,Prop_theta_0,Prop_isEnable,delta_e,delta_r,theta_1c_diff,theta_1s_diff,v_01,v_02,beta_01,beta_1c1,beta_1s1,beta_02,beta_1c2,beta_1s2,power_total_LowerRotor,power_total_UpperRotor,power_total_Prop,power_total,T_prop
31,0.244986520628357,0.000847289641182867,0.00238699967219289,-0.0452201444037768,0.0450803040859368,0.00156539586215292,3.94722433358931,4.91638121963974,2.2588533397048,0.562430031467902,1,0,0,0,0,7.78625442077954,6.4548963038201,0.0164513896120513,-0.00443274359396986,-0.0279354739460216,0.020392136684302,-0.0067339491620654,-0.0277567429374123,260301.948506169,333183.171614282,11903.5454303952,607190.420893457,478.58493973718
32,0.243851891785624,0.00102036491856921,0.00242999032123773,-0.0457661524193885,0.0442942868936245,0.00157385942698297,3.84048339069899,4.77125564251431,2.41324932924036,0.570516012687705,1,0,0,0,0,7.50811813251172,6.24084012916249,0.0164380567021204,-0.00424674353361099,-0.0274737796576659,0.0203585260198648,-0.00672535823730119,-0.0273530257629522,257269.794754802,327437.664009835,11903.5849963301,598738.904252331,529.044496283188
33,0.242816567628021,0.00118320116369095,0.00246393715685696,-0.0463101634916206,0.0434982351622812,0.0015745904724223,3.73748698305367,4.63419341125051,2.55955062153377,0.578507109941926,1,0,0,0,0,7.2459483872914,6.0367566397469,0.0164224896046995,-0.00406696547440338,-0.0270129342086608,0.0203297316282544,-0.00671755668527977,-0.026937794821105,254352.459980775,322096.260590547,11903.621382263,590825.760925762,579.809341806551
34,0.241870375257969,0.00133885765856544,0.00250422134096459,-0.0468519782169127,0.0426908787237234,0.00157837845314571,3.63824567499565,4.50469811485707,2.69903449766829,0.586463583111891,1,0,0,0,0,6.99726385106083,5.8412370789229,0.0164046845783106,-0.00388536676588019,-0.0265427932588581,0.0203055137228712,-0.0067180956473962,-0.026520998447098,251554.08618846,317132.974404077,11903.6535177892,583429.198217431,630.999878051483
35,0.241001150437021,0.00148890443760783,0.00254823121590598,-0.0473904627410684,0.0418710185270895,0.00158328665024385,3.54279643712835,4.38221525687943,2.83268350159543,0.594394046063213,1,0,0,0,0,6.75978921577546,5.652913636012,0.016384976055894,-0.0037027866078847,-0.0260645309343425,0.0202852096185004,-0.00672553604257114,-0.0261004183502591,248881.945246344,312516.460972962,11903.6812193269,576525.228282143,682.704042368165
36,0.240197687256095,0.00163467634581407,0.00259489465569257,-0.0479239323256521,0.0410375341907743,0.00158846636443686,3.45112719801841,4.26621881599036,2.96136524672686,0.602278066931919,1,0,0,0,0,6.53142079774889,5.47050946343446,0.0163637052104998,-0.0035193079605028,-0.0255775709567929,0.0202681811321023,-0.00673922353134766,-0.0256743480318997,246340.986514848,308217.533891405,11903.7042467449,570089.957584289,735.012247727793
37,0.239449556938963,0.00177723824601728,0.00264355822662131,-0.0484502579846115,0.0401893853009487,0.00159336297728202,3.36319504065501,4.15621027142375,3.08583282739268,0.610109737284206,1,0,0,0,0,6.31021987674428,5.29283656689849,0.0163412363872386,-0.00333483705987763,-0.0250805192753686,0.0202537913183047,-0.00675871974637502,-0.0252410035318601,243934.643901115,304208.829070512,11903.7223578475,564099.985606551,788.012269629569
38,0.238747171635162,0.00191740192998056,0.00269388978407341,-0.0489670199441356,0.0393256224937454,0.0015976488423106,3.27893566449422,4.05172030575022,3.20673108176692,0.617900214653072,1,0,0,0,0,6.09441958752142,5.11880587253755,0.016317955738059,-0.00314917833383083,-0.0245714215888899,0.0202414075275396,-0.00678374802813089,-0.0247986103688807,241665.184227611,300464.811381531,11903.7353141246,558532.699791898,841.785984582216
39,0.238087009578253,0.00205526198347854,0.00274509442575968,-0.0494745508716016,0.0384458862343465,0.00160079309429897,3.19824997232056,3.95231050490228,3.32438799375172,0.625678437307422,1,0,0,0,0,5.88325566193335,4.94806884312218,0.0162942943365693,-0.00296284348260501,-0.0240511642478774,0.020230518737683,-0.00681384334937849,-0.0243474389448601,239532.930811755,296962.201614966,11903.7429649113,553365.201349613,896.34408979552
40,0.237474005640948,0.00219023456999005,0.0027974843495635,-0.0499775484962864,0.037550617262233,0.00160320564879783,3.12099689986009,3.85758792847914,3.43880303475711,0.633409385874974,1,0,0,0,0,5.67726452033835,4.78125907156107,0.0162706789658684,-0.00277641998490495,-0.0235238060702558,0.020220851854275,-0.00684916384629473,-0.0238919940811199,237535.582545681,293681.148189645,11903.74517282,548574.474365841,951.609904021711
