U,theta_0,theta_diff,theta_1c,theta_1s,theta,phi,v_i1,v_i2,v_iprop,Prop_theta_0,Prop_isEnable,delta_e,delta_r,theta_1c_diff,theta_1s_diff,v_01,v_02,beta_01,beta_1c1,beta_1s1,beta_02,beta_1c2,beta_1s2,power_total_LowerRotor,power_total_UpperRotor,power_total_Prop,power_total
28,0.232758166125801,-0.000144904570406978,0.00164161048938132,-0.0340185284619388,0.0346470938711953,0.00111798344460949,3.6203253785318,4.49593256802714,1,0,0,0,0,0,0,7.32497084292529,5.9871824215573,0.0162772681896378,-0.00499206677878701,-0.0262494790292962,0.0201056965169669,-0.0060660402551179,-0.02555963405306,273163.427282747,338778.841574946,11902.7907581014,623845.059615794
29,0.231726602756728,7.46416684604107e-07,0.0016268651542245,-0.0344757703722365,0.0328217308825437,0.00109203635381432,3.51977599088646,4.34443789110643,1,0,0,0,0,0,0,7.03166266441957,5.76721144079871,0.0162943279808868,-0.00487385953039785,-0.0257567682384149,0.0200430830168706,-0.00603110135059487,-0.0250855361741693,270609.184439112,332590.778164975,11902.762881069,615102.725485157
30,0.230838475872828,0.00012654522345464,0.00161073192926619,-0.0349391380043203,0.0309799971594193,0.00106498879095851,3.42313843062401,4.20182102001009,1,0,0,0,0,0,0,6.75949976319212,5.56048629098393,0.0163114043212781,-0.00476452981731553,-0.0252637431363969,0.0199854173706478,-0.00600109355351979,-0.0246110092097814,268176.935326281,326851.842707534,11902.7296869563,606931.507720771
31,0.230086232002412,0.000234779215194837,0.00159474488247737,-0.0354122142274822,0.0291205461869124,0.00103801618005255,3.33031951556265,4.06762465944878,1,0,0,0,0,0,0,6.50692773009895,5.36584540512701,0.0163279102929077,-0.00466393564554695,-0.024774854612051,0.019933064667607,-0.00597646969304698,-0.0241401985771269,265863.084353239,321541.772626053,11902.6914464456,599307.548425738
32,0.229457441000464,0.000327892566476993,0.0015792687142921,-0.0358955243136996,0.0272402554864239,0.00101141072316614,3.24137255688775,3.9412282161105,1,0,0,0,0,0,0,6.27134885584355,5.18174887656778,0.0163440880792625,-0.00457187070836496,-0.0242907882440453,0.0198854036683788,-0.00595717233706121,-0.0236737508199619,263675.362668203,316626.06180207,11902.6484823598,592204.072952633
33,0.228940293159244,0.000407935068585255,0.00156441332089293,-0.0363887608385181,0.0253359600959321,0.000985269901293722,3.15629926528289,3.82202871893548,1,0,0,0,0,0,0,6.05031225275651,5.00672393454817,0.016360257415263,-0.00448818395780703,-0.0238111135806877,0.0198417599726377,-0.00594308314437965,-0.0232112552204902,261619.613349508,312071.442093055,11902.6012280435,585593.656670607
34,0.228523922123089,0.0004765898787784,0.00155013374540277,-0.0368910775079847,0.0234046224440286,0.000959577452840133,3.07505607899151,3.70945717992349,1,0,0,0,0,0,0,5.84157731922815,4.83939740682155,0.0163767624658221,-0.00441279696925662,-0.0233346871622134,0.019801469599711,-0.0059340601297048,-0.0227516219465753,259699.618301557,307846.966755797,11902.5502464194,579449.135303774
35,0.228198367997622,0.000535228132867905,0.00153626769557292,-0.0374012209818716,0.0214433733330233,0.000934236678716873,2.99756834493823,3.60298185174159,1,0,0,0,0,0,0,5.64310145668213,4.67849631013774,0.016393964993063,-0.00434571073204918,-0.0228598545679575,0.0197638844284135,-0.00592994427657184,-0.0222932738562721,257917.591837296,303924.075857919,11902.4962461634,573744.163941379
36,0.227954526285533,0.000584958677563143,0.00152256698694982,-0.0379176359276324,0.0194495319765773,0.0009090977525362,2.92374043301857,3.50210963163589,1,0,0,0,0,0,0,5.45302620948688,4.52284504109845,0.0164122368135514,-0.00428700719198958,-0.0223846091189434,0.0197283779070014,-0.00593056556612319,-0.0218342969792351,256274.538671406,300276.594413932,11902.4400976956,568453.573183034
37,0.227784089670555,0.000626672784577426,0.0015087237838607,-0.0384385477448167,0.0174206122018643,0.000883979973350042,2.85346285003444,3.40638618736632,1,0,0,0,0,0,0,5.26966298419246,4.37136043556716,0.0164319518945763,-0.0042368469234999,-0.0219067148253427,0.0196943509149081,-0.00593574895577573,-0.0213725569148602,254770.511547188,296880.685555469,11902.3828492046,563553.579951861
38,0.227679555681843,0.000661079269137676,0.00149439442970471,-0.0389620627243611,0.0153543403491229,0.000858691892827115,2.78661685786217,3.31539529143822,1,0,0,0,0,0,0,5.09149020381594,4.22305451357293,0.0164534784331229,-0.00419546742459985,-0.0214238376145433,0.0196612397656359,-0.00594532231537666,-0.0209058236594913,253404.77824687,293714.784622294,11902.3257435191,559021.888612683
39,0.22763823261838,0.000688470829561337,0.00147933228746237,-0.0394883844440505,0.013249857075523,0.000833168651887274,2.7230601332351,3.22876184906512,1,0,0,0,0,0,0,4.91779876777002,4.0775579067888,0.0164771742556712,-0.00416337665469589,-0.020935851952746,0.0196286480206097,-0.00595922319562783,-0.0204340017880755,252174.951145637,290760.107997595,11902.2702674946,554837.329410727
40,0.227664063740787,0.000708678663466133,0.00146345990411907,-0.0400210716774027,0.0111082169040144,0.0008075402069998,2.6626252082623,3.14615329809713,1,0,0,0,0,0,0,4.74896723243675,3.93535497349492,0.0165033785108698,-0.00414141702124695,-0.0204460369762722,0.0195964103810726,-0.0059775482793838,-0.0199602879316458,251076.808238898,288000.808479175,11902.2181597052,550979.834877779
41,0.227761285418825,0.00072155225387032,0.00144670114338679,-0.0405638729990836,0.00893046611495244,0.000781942707355117,2.60515101835011,3.06727096381843,1,0,0,0,0,0,0,4.58541744258202,3.79695492950607,0.0165323999304751,-0.00413042784562524,-0.0199577135928629,0.0195644006820003,-0.00600040298429511,-0.0194879176678218,250106.042173792,285422.869502715,11902.1713485623,547431.083025069
42,0.227933870131107,0.000727008818603861,0.00142896714708649,-0.0411204253074024,0.0067174884543603,0.000756498536390307,2.55048452196031,2.99184619641887,1,0,0,0,0,0,0,4.42752354078204,3.66282090004746,0.0165645137462888,-0.00413121120414155,-0.0194739364740014,0.0195325171891056,-0.00602789754035921,-0.0190198677978604,249258.387071211,283013.85540708,11902.1319549073,544174.374433198
43,0.228185556014241,0.000725040749700558,0.00141015814771293,-0.0416942558617528,0.00447002795712238,0.00073131356503129,2.49847972241935,2.91963742187103,1,0,0,0,0,0,0,4.27561687252624,3.53337580699578,0.0165999597748802,-0.00414452756228853,-0.0189975052234479,0.019500685470748,-0.00606015762994604,-0.0185588675381694,248529.598072426,280762.76374011,11902.1023007625,541194.464113299
44,0.228519871966566,0.000715722288640278,0.00139016497804903,-0.0422887848841634,0.00218871002491918,0.000706474203192917,2.44899689915622,2.85042749778625,1,0,0,0,0,0,0,4.12999015267213,3.4090077445135,0.0166389410686068,-0.00417109117609974,-0.0185309760948903,0.0194688605385278,-0.00609733451648735,-0.0181074103123464,247915.439271686,278659.889381337,11902.0849182092,538477.413571232
45,0.228940158870198,0.00069921495118826,0.00136887036974934,-0.042907328510739,-0.000125939316791692,0.000682044487060422,2.40190201523318,2.78402132113239,1,0,0,0,0,0,0,3.99090102852823,3.29007483639565,0.0166816231706834,-0.00421156552230437,-0.0180766739741443,0.019437028240015,-0.00613961439574049,-0.0176677658116709,247411.678713024,276696.698304128,11902.0825582349,536010.459575387
