U,theta_0,theta_diff,theta_1c,theta_1s,theta,phi,v_i1,v_i2,Prop_theta_0,Prop_isEnable,delta_e,delta_r,theta_1c_diff,theta_1s_diff,v_01,v_02,beta_01,beta_1c1,beta_1s1,beta_02,beta_1c2,beta_1s2,power_total_LowerRotor,power_total_UpperRotor,power_total_Prop,power_total
69,0.221628492170819,0.00305149588675783,0.00198550004032418,-0.0478442649215202,0.0166443126503518,0.000275368026982316,1.54460259436228,1.84829858917124,0.105245985044884,1,0,0,0,0,1.97713866735942,1.8684205562919,0.0159035350425939,-0.00784107758962809,-0.00920233720982529,0.0193485810706963,-0.0145416212575995,-0.0103571310796696,245079.597458971,268442.492305637,16183.9948432907,529706.084607898
70,0.222518646754416,0.00296441676551448,0.00195162890953296,-0.0490800486148054,0.0158431886655591,0.000282580200499699,1.52813127338984,1.8184870157568,0.105245985044884,1,0,0,0,0,1.93690011490915,1.83586262325861,0.015967339786639,-0.00775822017314872,-0.00921005737984835,0.0193085599081595,-0.0143668684076462,-0.0103629164018272,246195.989977008,268546.794499222,16293.231509329,531036.015985559
71,0.223115687708418,0.00298730996497963,0.00196441645286583,-0.050000166125898,0.0154405771736392,0.000281195876875891,1.50764654119799,1.79296433490525,0.10875418454638,1,0,0,0,0,1.89476106757914,1.80792485214946,0.0159736567801185,-0.00771498921477705,-0.00911967508753322,0.0193045133060338,-0.0144422859991161,-0.0103129260057819,247029.985029619,269000.42228654,16436.662743573,532467.070059732
72,0.224091997394308,0.00288955805953231,0.00192909866960905,-0.0513283273613114,0.0146451891698503,0.000292672880634414,1.49249939856091,1.76459533339131,0.10875418454638,1,0,0,0,0,1.85845916924161,1.77752231453544,0.0160424983859201,-0.00761937414024524,-0.00915581706843842,0.0192633723470672,-0.01423065363934,-0.0103453877150051,248241.868422473,269208.724504947,16548.9219240874,533999.514851508
73,0.22474916928698,0.00291268938726383,0.00194483986446588,-0.0523092254658458,0.0142554747052967,0.000294048859753472,1.47296021877705,1.7407247316321,0.112262384047876,1,0,0,0,0,1.81971306536607,1.75185861579236,0.0160480458822421,-0.00756231927850388,-0.00908455531828778,0.0192622665898817,-0.0142945464644072,-0.0103152525325403,249144.994965538,269785.799947636,16697.5540446191,535628.348957793
74,0.225426725322332,0.00294196703840166,0.00196412918701776,-0.0533094628364918,0.0138760295615687,0.000295802003642734,1.45366748646914,1.71780620611777,0.115770583549373,1,0,0,0,0,1.78234201446683,1.72739566863374,0.0160502425289385,-0.00749597564858757,-0.00901922595379618,0.0192649483613696,-0.0143636001567343,-0.0102925668048354,250067.786153212,270436.881710892,16850.1347537636,537354.802617868
75,0.226529889989178,0.00282749254356549,0.00192623952349576,-0.0547768910905964,0.0130871509669896,0.000313729332732619,1.44040453927471,1.69131160490178,0.115770583549373,1,0,0,0,0,1.75124696837698,1.69960561108236,0.0161271242262871,-0.00738170858259971,-0.00909528934585494,0.0192215145242959,-0.0140951765524134,-0.0103623962118742,251421.517712275,270785.49073161,16966.6566880342,539173.665131919
76,0.227268210254468,0.00285663956594261,0.00194812134858975,-0.0558413548665273,0.0127179264862963,0.000318165821897585,1.42198017615084,1.66983519931055,0.119278783050869,1,0,0,0,0,1.71675730355396,1.67698102134293,0.0161288899309549,-0.00730016208145072,-0.00904804154637041,0.019226867611675,-0.0141507553429841,-0.0103583183636575,252412.514531789,271549.01101996,17124.4377433251,541085.963295074
77,0.228459984931064,0.00273103382684769,0.00190789767881963,-0.0574094181597953,0.0119337583236127,0.000340103814920298,1.40987627336686,1.64446348510679,0.119278783050869,1,0,0,0,0,1.6887273785295,1.65064793513923,0.0162116051071545,-0.00717229461405984,-0.00915066090102823,0.0191816813005037,-0.0138402335410828,-0.0104531012089352,253858.37585186,271985.995642796,17243.9504982977,543088.321992954
78,0.229260298640997,0.00275897843021803,0.00193187967497039,-0.0585411324646019,0.0115734813360924,0.000347343164983931,1.39230196393901,1.6242803445459,0.122786982552365,1,0,0,0,0,1.65685592102935,1.62961047469878,0.0162135802902007,-0.00707552658777168,-0.0091210912330045,0.0191891416151697,-0.0138798842332875,-0.0104671018900233,254919.005841156,272853.347937281,17406.9108673697,545179.264645807
79,0.230542725684497,0.00262230725144388,0.0018889665340216,-0.0602139222859455,0.0107933634569905,0.000373063283095655,1.38129584503206,1.59993294140545,0.122786982552365,1,0,0,0,0,1.63161049892344,1.60454891714428,0.0163023897448637,-0.00693350688021526,-0.0092498789801471,0.0191420460760498,-0.0135251627280886,-0.0105865312917318,256455.570077248,273374.1882267,17529.4070198061,547359.165323754
80,0.231406837456098,0.00264759750488747,0.00191442646839603,-0.0614163986613573,0.010440791358085,0.000383294361003756,1.36456990115439,1.58089481747348,0.126295182053861,1,0,0,0,0,1.60214139346557,1.58487463078393,0.0163054104574533,-0.00682188805139199,-0.0092378001506135,0.0191508777172588,-0.0135458092418621,-0.0106182862759332,257588.235893023,274336.461752895,17697.5163121777,549622.213958097
81,0.232293910693421,0.00267786884772535,0.00194282901359879,-0.0626434495215382,0.0100938837800313,0.000393918086124567,1.34805428678301,1.56257037396807,0.129803381555357,1,0,0,0,0,1.57360187713884,1.56600172972504,0.0163057797154705,-0.00669913996017587,-0.00923136482607594,0.0191629721360855,-0.0135686115512127,-0.0106567084721849,258742.379566631,275359.256689675,17869.5346225041,551971.17087881
82,0.233712808529325,0.00252121684905188,0.00189475631406274,-0.0644757412214801,0.009317712484088,0.000425909820060865,1.3387262984606,1.53945818554803,0.129803381555357,1,0,0,0,0,1.55217940953295,1.54243285486642,0.0164054772764416,-0.00653892735041083,-0.00939797343914174,0.0191112298692147,-0.0131430128217191,-0.0108116319354423,260421.18585665,275986.473220873,17996.207934959,554403.867012482
