U,theta_0,theta_diff,theta_1c,theta_1s,theta,phi,v_i1,v_i2,Prop_theta_0,Prop_isEnable,theta_1c_diff,theta_1s_diff,delta_e,delta_r,v_01,v_02,beta_01,beta_1c1,beta_1s1,beta_02,beta_1c2,beta_1s2,power_total_LowerRotor,power_total_UpperRotor,power_total_Prop,power_total
30,0.227369181244584,0.000413651842932893,0.00169933800689069,-0.0298085431776982,0.0430247049980579,0.000877502641726463,3.40088491187053,4.22204373558551,0,0,0,0,0,0,6.75296631865645,5.57173390140715,0.0160942138595925,-0.00806619063131145,-0.0234960097440838,0.0199876288814411,-0.00955340576695668,-0.0229296499241725,266325.409868514,328186.37085939,13225.9848787801,607278.178847468
31,0.225427247189374,0.000676332890420203,0.0022925742541818,-0.0295747217622088,0.0460901681507574,0.00127252470944849,3.29657086812296,4.09745834557455,0.0476984362533338,1,0,0,0,0,6.4960973281058,5.38235132165096,0.0160135654126448,-0.00801525714530193,-0.0224433615867283,0.0199567059998391,-0.0102238198830576,-0.0227793346919209,263136.375467567,323592.649291074,12939.1132266868,599668.137985328
32,0.224390791022686,0.000821326847258884,0.00228242012972144,-0.029746619615878,0.0451288409919882,0.00123924503849429,3.20414859676113,3.97309087376227,0.0488517415421137,1,0,0,0,0,6.25820305313815,5.19916028611377,0.015999243825289,-0.00804875653264173,-0.0218786314107152,0.019918841632007,-0.0103807712447052,-0.0222344950354483,260717.872634234,318864.075679339,12987.3309396633,592569.279253237
33,0.223424089810168,0.000959890418266549,0.00226880206923088,-0.0299137846321317,0.0442493709255978,0.00120217631266908,3.11527256929463,3.85623077366223,0.053206989757769,1,0,0,0,0,6.03471526150095,5.02527594869772,0.0159810593582166,-0.00809010717651192,-0.021322473392072,0.0198865088094196,-0.0105457976218268,-0.0216907094483165,258406.628479421,314519.964568441,13041.5449953592,585968.138043221
34,0.22253324835894,0.00109241660322909,0.00226089608825962,-0.0300852004856315,0.0433808676129633,0.00116832600731491,3.0300226895102,3.74620305745569,0.0560995217492504,1,0,0,0,0,5.82341324086791,4.85928265173408,0.0159604459775239,-0.0081295190256652,-0.0207684626412014,0.0198591212866924,-0.010716789512823,-0.0211554847213894,256216.58529512,310522.558132546,13097.61396287,579836.757390536
35,0.221677350848176,0.00122430230113823,0.0022559645026959,-0.0302416835967919,0.0426282594712578,0.00113472029007125,2.94804079400768,3.64266935301617,0.0609137353301353,1,0,0,0,0,5.62208475874118,4.70001668776162,0.015935181609902,-0.008175120085248,-0.0202140781678456,0.0198364901573604,-0.0109027535136877,-0.0206220599084797,254128.63766072,306857.544772766,13161.9254672687,574148.107900755
36,0.220845565789844,0.00135766746007347,0.00225721562857932,-0.0303797816328966,0.0419829582081451,0.00110337637702259,2.86919180982951,3.54514429659763,0.0664019256419953,1,0,0,0,0,5.42879876565125,4.54632725553987,0.0159052145370403,-0.00822484512773094,-0.019654163340759,0.0198182894883118,-0.0111058947326027,-0.02009044998028,252141.625597875,303500.159227667,13234.5067033542,568876.291528896
37,0.220094126657149,0.00148489627558892,0.00225858076593358,-0.0305384618553466,0.041209343457359,0.00107192472622557,2.79403073429719,3.45270542776992,0.0690427160707439,1,0,0,0,0,5.2421569727857,4.3969292985521,0.0158764764538643,-0.00826299254286526,-0.0190982958028472,0.0198028490654473,-0.0112991044144106,-0.0195628720214317,250304.802928317,300391.327067638,13300.8702121916,563997.000208147
38,0.219342451747402,0.00161696390889959,0.00226472411127288,-0.0306702860099662,0.0405560616818147,0.00104122847856002,2.72170913245519,3.36543145653604,0.0730405878621313,1,0,0,0,0,5.06021594606913,4.25111381014925,0.0158429124875083,-0.00830578913213476,-0.0185322041991063,0.0197909625857963,-0.0115110851225386,-0.0190314680080569,248563.563846723,297546.953095466,13376.8765203311,559487.393462521
39,0.218649760950005,0.00174522560996245,0.002268915333445,-0.0308163215712374,0.0398115755285157,0.00100869878535069,2.65275595883271,3.28248562027495,0.0755551471938344,1,0,0,0,0,4.88261400618896,4.1083321385246,0.0158105079784903,-0.00833883036342064,-0.0179687875615352,0.0197809078979106,-0.0117144607317126,-0.0185006246723436,246964.355811232,294912.588276499,13448.8132923664,555325.757380098
40,0.218006542109931,0.00187098610214391,0.00227187134235042,-0.0309727077146386,0.0390253851663751,0.000974616615706629,2.58689691027999,3.20360498283734,0.0774384318832831,1,0,0,0,0,4.70967816122937,3.96911858628553,0.0157785593025163,-0.00836523461353801,-0.0174098938984205,0.0197726192189809,-0.0119137353839666,-0.0179730298267437,245494.65564779,292477.21112976,13519.617262112,551491.484039661
41,0.217330685868662,0.00200827307129853,0.00228406705430639,-0.0310825886333776,0.0384576005106219,0.000942742676234639,2.52301343872096,3.12911777187444,0.0815508949199712,1,0,0,0,0,4.54127246703016,3.83433922723331,0.0157388599937189,-0.00840406398866055,-0.0168384635837628,0.0197684330940759,-0.0121494757165417,-0.0174455313068341,244081.748771995,290276.613705528,13607.4248174043,547965.787294928
42,0.21686268057029,0.00211588064799881,0.00227568861961701,-0.0313199391062133,0.0374061279230741,0.000903019041172022,2.46371429747374,3.05691834464045,0.0804100374159757,1,0,0,0,0,4.37937581677917,3.70340839522624,0.0157158076487867,-0.00840328536908027,-0.016316778199217,0.0197606675974661,-0.0123062989828029,-0.0169406015306067,242917.224495341,288150.900650407,13662.5846760401,544730.709821788
