iter	Passed	Remaining
844	12334	16859
845	12358	16857
846	12381	16854
847	12401	16847
848	12474	16911
849	12488	16896
850	12502	16880
851	12515	16863
852	12527	16844
853	12539	16827
854	12552	16809
855	12586	16821
856	12603	16809
857	12622	16800
858	12631	16778
859	12646	16763
860	12663	16751
861	12676	16735
862	12687	16716
863	12709	16710
864	12737	16713
865	12778	16733
866	12796	16722
867	12809	16705
868	12827	16694
869	12838	16675
870	12847	16652
871	12858	16633
872	12869	16613
873	12877	16590
874	12886	16568
875	12899	16551
876	12913	16535
877	12936	16531
878	12954	16520
879	12969	16506
880	12985	16493
881	12995	16472
882	13003	16450
883	13012	16427
884	13026	16412
885	13034	16389
886	13043	16366
887	13052	16345
888	13065	16327
889	13076	16308
890	13084	16285
891	13093	16264
892	13102	16241
893	13112	16221
894	13137	16220
895	13150	16203
896	13169	16193
897	13178	16171
898	13203	16170
899	13231	16172
900	13255	16168
901	13264	16147
902	13281	16134
903	13290	16113
904	13305	16099
905	13321	16085
906	13345	16081
907	13361	16068
908	13374	16052
909	13390	16038
910	13399	16017
911	13408	15996
912	13420	15978
913	13432	15960
914	13441	15938
915	13453	15920
916	13465	15902
917	13473	15880
918	13482	15859
919	13497	15844
920	13505	15822
921	13514	15801
922	13532	15790
923	13554	15784
924	13567	15768
925	13589	15761
926	13598	15740
927	13607	15718
928	13618	15700
929	13632	15684
930	13641	15663
931	13649	15641
932	13662	15625
933	13671	15603
934	13682	15584
935	13691	15563
936	13704	15547
937	13716	15529
938	13734	15518
939	13785	15544
940	13801	15532
941	13813	15514
942	13825	15496
943	13834	15475
944	13850	15462
945	13864	15447
946	13877	15430
947	13887	15411
948	13904	15398
949	13916	15381
950	13925	15360
951	13958	15366
952	13975	15353
953	13995	15345
954	14007	15327
955	14020	15310
956	14033	15295
957	14042	15274
958	14054	15256
959	14067	15239
960	14077	15219
961	14087	15199
962	14097	15180
963	14110	15164
964	14119	15143
965	14131	15126
966	14141	15106
967	14152	15088
968	14175	15082
969	14221	15100
970	14241	15091
971	14262	15084
972	14277	15069
973	14287	15049
974	14295	15029
975	14304	15008
976	14312	14986
977	14321	14965
978	14329	14944
979	14338	14923
980	14347	14902
981	14362	14889
982	14381	14879
983	14389	14857
984	14402	14840
985	14416	14826
986	14424	14804
987	14433	14783
988	14441	14763
989	14454	14746
990	14466	14729
991	14475	14708
992	14487	14691
993	14501	14676
994	14514	14660
995	14522	14639
996	14539	14626
997	14552	14610
998	14570	14599
999	14599	14599
1000	14630	14601
1001	14641	14583
1002	14656	14568
1003	14664	14548
1004	14674	14528
1005	14682	14507
1006	14694	14490
1007	14705	14471
1008	14713	14451
1009	14723	14431
1010	14735	14414
1011	14744	14395
1012	14847	14466
1013	14886	14475
1014	14908	14467
1015	14921	14451
1016	14933	14434
1017	14946	14417
1018	14959	14401
1019	14972	14384
1020	14984	14368
1021	14992	14347
1022	15002	14327
1023	15010	14306
1024	15019	14287
1025	15028	14266
1026	15037	14246
1027	15047	14227
1028	15151	14297
1029	15172	14288
1030	15191	14278
1031	15217	14274
1032	15241	14267
1033	15295	14289
1034	15341	14303
1035	15371	14303
1036	15390	14292
1037	15405	14277
1038	15416	14258
1039	15429	14242
1040	15437	14221
1041	15448	14203
1042	15461	14186
1043	15473	14169
1044	15483	14150
1045	15495	14132
1046	15513	14120
1047	15532	14110
