U,Prop_theta_0,Prop_isEnable,delta_e,delta_r,theta_1c_diff,theta_1s_diff,theta_0,theta_diff,theta_1c,theta_1s,theta,phi,v_i1,v_i2,v_01,v_02,beta_01,beta_1c1,beta_1s1,beta_02,beta_1c2,beta_1s2,power_total_LowerRotor,power_total_UpperRotor,power_total_Prop,power_total
100,0.372054035582722,0,-0.0907025917781145,-0.14641502737699,-0.0100767288438792,0.0195776023770722,0.660416502673735,0.0538929290877069,-0.00553004257790171,-0.546618003444021,-0.249222744227237,-0.0609300497209758,3.51176940064351,1.36187057510706,3.61952728674503,1.36304295520638,0.0196300161081377,0.17091096459552,-0.11676356352884,0.0673727547459758,0.0731330263978848,-0.0774413074812217,366540.871277765,417679.472078999,27871.2785163566,804393.865553933
100,0.254726135595636,0,-0.312536376911524,0.348255346884616,0.00108094815210937,0.00860470972490885,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,0.505989645065244,0,0.00506941369913004,-0.150669268252747,-0.00584599050631694,0.00832090435682958,0.659595720935725,0.0520361737668941,-0.00610970680942337,-0.527353735208891,-0.267851883504696,-0.0581764521296869,3.48218126985761,1.32128931020972,3.58922042436728,1.32254813841563,0.019019951400173,0.159796470203085,-0.114157756869694,0.0670101731892317,0.0582033819618786,-0.0716850564276911,360915.579276838,411450.835124938,45090.2614583093,792539.936598945
100,0.228807303318173,0,0.0718082354920405,0.0959351889134838,-0.00371239410192807,0.0763184966210489,0.978605394600555,0.0908613227254025,-0.0967013964043782,-0.913671761305525,0.231914255324753,0.612597269383136,4.48217139640767,0.863330342080599,4.54977471768536,0.864774950870023,0.00860632783813494,0.331170275431941,-0.249546601707351,0.0947217274312753,0.159395858091233,-0.144223108779222,365383.408007683,398955.360061052,22583.3042692719,784512.290265903
100,0.460288173799314,0,0.00309548981407828,-0.215925210151105,-0.0054490705986742,0.0770971854732992,0.658081145906007,0.0717424648025768,-0.00972931928684139,-0.529423246056151,-0.288803094647179,-0.0794946953762326,3.91814540674869,0.861446456556924,3.98950456998567,0.862973648270218,0.00903489144516671,0.184119671675306,-0.127087813585606,0.0762604607008342,0.0404919107740806,-0.0651038483512193,304264.290520202,369493.708966344,35670.0274357165,693931.521683715
100,0.326569583659975,0,0.0935482965540421,0.0347930369233585,-0.0106156693761762,0.0104512779243909,1.01851947131642,0.123248763104815,-0.130221514578352,-0.961218281329732,0.272202701465204,0.671623151476037,5.07599760514031,0.668576877187582,5.12956920904688,0.670345142384458,-0.00406439319952758,0.374472713856548,-0.283903054251892,0.108344543371437,0.159845361248416,-0.146837934837293,467342.015767716,382162.309613298,25610.9489521553,869677.847578183
100,0.0618137754722017,0,0.274999256944474,0.37259910490779,0.00407347856577022,0.0612476625152492,0.906991001022658,-0.0722216336671536,0.0191033748742293,-0.777821571161054,-0.0649937704594474,0.326454435336373,1.11961232253309,4.0504264060915,1.41698859336965,4.05071665171559,0.0853635713138768,0.0958599426198452,-0.107930963612813,0.0175821077382396,0.242497047196916,-0.180517700724082,422470.284052378,362722.210645783,20220.5712280722,805366.01689533
100,0.414571393679682,0,0.203870853989783,-0.274912908514386,0.000270393989667822,0.00183741670639524,0.657520411793793,0.0800127931510962,-0.0136939486844786,-0.49384453215048,-0.340507291454679,-0.0856276299694362,4.08630333840671,0.549763040789281,4.13528460262642,0.551800235345666,0.00256201263946793,0.174937831489574,-0.126694885077025,0.0802112884832953,0.00687794841653779,-0.0501741083663866,281336.920343208,329272.758616328,30983.2218565594,630783.201156704
100,0.314748193872921,0,0.00806760065584892,0.392710300743338,0.000485641273632544,0.0385635095949769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,0.0178193698193104,0,0.403618124565484,0.34965464217918,0.0137452635083354,0.0784957625446617,0.897701749599284,-0.0897807494385142,0.0394839000696628,-0.740083538635731,-0.153575531778659,0.262125057004696,0.847193808629707,4.25746874512808,1.17309965608595,4.25772165159609,0.0907611550292709,0.068945215384088,-0.0955910960937933,0.0108976965393687,0.220873591635498,-0.187243526873937,388189.341925636,324240.659036634,20240.1363958017,732603.523159439
100,0.0834396400067241,0,-0.296615807101668,-0.514222367926936,-0.0151985784376862,0.0203500730992922,0.721145939254479,0.184724656319915,-0.0664800016815325,-0.690187295238004,-0.415882141611112,-0.235264589844393,6.74008783763336,2.15015449637983,6.94672904321514,2.15449473220105,-0.0386505609318615,0.364057192448798,-0.258540024060872,0.124159922297647,0.0479648404107437,-0.0848359837759843,868098.869271717,745986.310146399,20267.6039057593,1634258.70161528
100,0.533869275529151,0,0.375814152333079,-0.435101369876842,0.0171831196027007,0.0249792291050101,0.675815336476092,0.103942599775128,-0.0348549941032215,-0.493004875394626,-0.425962577645253,-0.120381453653391,4.80017911653556,0.556203577005312,4.85684260142227,0.559967752730333,-0.0131258003298807,0.19875688473292,-0.16886471474026,0.0933444058183467,-0.0315843234689358,-0.0409874924039744,414109.221902074,343812.549421618,55629.9092208644,778095.29352086
100,0.316130512374789,0,-0.264198530463965,0.447659775831557,0.0166231795242429,0.000655337258486682,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,0.214715393599554,0,0.00754429391688466,0.257904957095567,0.000363815900244731,0.0366061953680919,0.832455907396459,-0.058922182993822,0.0130920605104158,-0.736827301119421,-0.0782489690025933,0.211985446596908,1.34559935224041,3.89254965984061,1.6268521108958,3.89288014607512,0.0784622906025336,0.106656934577758,-0.110151124143665,0.0215014591631837,0.234786877369398,-0.171301117977207,441930.876478609,387334.132269966,22214.7294624886,849438.530945743
100,0.0896598838036947,0,0.0229503679202067,-0.120904036311682,0.0173358068398729,0.0728062257405064,0.668909256682403,0.0340248866915244,-0.00960439842815862,-0.531660087046595,-0.270644987988153,-0.0492596682708505,3.35940496088523,1.46854186072783,3.47904187347781,1.46977952373842,0.022350422487966,0.150637016821245,-0.137052611855369,0.0644612689716139,0.0429653588457564,-0.0801122346741536,377639.927998216,422599.882914422,20287.2992665466,820413.333109807
